ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj,,,,
äÓèÄì˙,äÓèÄâøäz,äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj,ï™îzã‡(ê≈à¯ëO),èÉéëéY(â≠â~)
2020/1/6,11873,11873,,439.28
2020/1/7,11951,11951,,444.81
2020/1/8,11851,11851,,451.14
2020/1/9,12066,12066,,463.58
2020/1/10,12185,12185,,469.6
2020/1/14,12300,12300,,477.82
2020/1/15,12260,12260,,479.89
2020/1/16,12283,12283,,488.23
2020/1/17,12428,12428,,497.15
2020/1/20,12460,12460,,501.74
2020/1/21,12465,12465,,505.46
2020/1/22,12395,12395,,502.62
2020/1/23,12378,12378,,515.04
2020/1/24,12378,12378,,520.42
2020/1/27,12208,12208,,514.67
2020/1/28,11994,11994,,508.56
2020/1/29,12139,12139,,518.31
2020/1/30,12121,12121,,520.32
2020/1/31,12168,12168,,527.37
2020/2/3,11892,11892,,518.11
2020/2/4,11988,11988,,525.48
2020/2/5,12263,12263,,552.48
2020/2/6,12446,12446,,564.38
2020/2/7,12496,12496,,571.64
2020/2/10,12402,12402,,568.7
2020/2/12,12536,12536,,576.39
2020/2/13,12625,12625,,583.75
2020/2/14,12606,12606,,587.5
2020/2/17,12620,12620,,590.42
2020/2/18,12627,12627,,597.11
2020/2/19,12600,12600,,595.81
2020/2/20,12815,12815,,613.06
2020/2/21,12861,12861,,618.21
2020/2/25,12171,12171,,589.23
2020/2/26,11740,11740,,571.52
2020/2/27,11695,11695,,583.66
2020/2/28,11089,11089,,565.52
2020/3/2,10825,10825,,559.98
2020/3/3,11380,11380,,595.74
2020/3/4,10973,10973,,601
2020/3/5,11452,11452,,644.18
2020/3/6,10936,10936,,624.41
2020/3/9,10319,10319,,598.31
2020/3/10,9657,9657,,566.29
2020/3/11,10287,10287,,609.72
2020/3/12,9762,9762,,587.29
2020/3/13,8885,8885,,542.2
2020/3/16,9869,9869,,608.07
2020/3/17,8671,8671,,540.58
2020/3/18,9242,9242,,589.4
2020/3/19,8904,8904,,576.31
2020/3/23,8700,8700,,572.49
2020/3/24,8432,8432,,560.84
2020/3/25,9267,9267,,626.04
2020/3/26,9342,9342,,640.06
2020/3/27,9759,9759,,683.59
2020/3/30,9321,9321,,659.69
2020/3/31,9738,9738,,694.62
2020/4/1,9474,9474,,678.33
2020/4/2,9048,9048,,652.43
2020/4/3,9310,9310,,691.52
2020/4/6,9243,9243,,689.55
2020/4/7,9902,9902,,742.37
2020/4/8,9848,9848,,743.58
2020/4/9,10223,10223,,776.94
2020/4/10,10329,10329,,790.51
2020/4/13,10293,10293,,794.03
2020/4/14,10134,10134,,781.76
2020/4/15,10401,10401,,816.25
2020/4/16,10221,10221,,809.25
2020/4/17,10303,10303,,821.9
2020/4/20,10575,10575,,847.4
2020/4/21,10376,10376,,835.29
2020/4/22,10065,10065,,818.79
2020/4/23,10292,10292,,839.23
2020/4/24,10277,10277,,838.37
2020/4/27,10409,10409,0,851.8
2020/4/28,10532,10532,,863.54
2020/4/30,10714,10714,,883.49
2020/5/1,10655,10655,,881.79
2020/5/7,10324,10324,,859.85
2020/5/8,10456,10456,,894.13
2020/5/11,10693,10693,,922.27
2020/5/12,10751,10751,,932.31
2020/5/13,10494,10494,,916.9
2020/5/14,10288,10288,,902.19
2020/5/15,10461,10461,,920.48
2020/5/18,10477,10477,,924.8
2020/5/19,10826,10826,,959.81
2020/5/20,10776,10776,,958.62
2020/5/21,10934,10934,,974.47
2020/5/22,10848,10848,,974.52
2020/5/25,10867,10867,,979.02
2020/5/26,10879,10879,,983.02
